[[4, 1], [4.0, 1.125]]
[[4.0, 1.125], [4.0, 1.25]]
[[4.0, 1.25], [4.0, 1.375]]
[[4.0, 1.375], [4.0, 1.5]]
[[4.0, 1.5], [4.0, 1.625]]
[[4.0, 1.625], [4.0, 1.75]]
[[4.0, 1.75], [4.0, 1.875]]
[[4.0, 1.875], [4.0, 2.0]]
[[4.0, 2.0], [4.047835429045636, 2.1154849415639108]]
[[4.047835429045636, 2.1154849415639108], [4.095670858091273, 2.2309698831278215]]
[[4.095670858091273, 2.2309698831278215], [4.143506287136909, 2.3464548246917323]]
[[4.143506287136909, 2.3464548246917323], [4.191341716182546, 2.461939766255643]]
[[4.191341716182546, 2.461939766255643], [4.279730063830864, 2.5503281139039613]]
[[4.279730063830864, 2.5503281139039613], [4.368118411479182, 2.6387164615522796]]
[[4.368118411479182, 2.6387164615522796], [4.483603353043093, 2.686551890597916]]
[[4.483603353043093, 2.686551890597916], [4.608603353043093, 2.686551890597916]]
[[4.483603353043093, 2.686551890597916], [4.599088294607004, 2.7343873196435524]]
[[4.483603353043093, 2.686551890597916], [4.599088294607004, 2.7343873196435524]]
[[4.599088294607004, 2.7343873196435524], [4.687476642255322, 2.8227756672918707]]
[[4.687476642255322, 2.8227756672918707], [4.77586498990364, 2.911164014940189]]
[[4.599088294607004, 2.7343873196435524], [4.724088294607004, 2.7343873196435524]]
[[4.368118411479182, 2.6387164615522796], [4.4565067591275005, 2.727104809200598]]
[[4.4565067591275005, 2.727104809200598], [4.571991700691411, 2.7749402382462343]]
[[4.4565067591275005, 2.727104809200598], [4.544895106775819, 2.815493156848916]]
[[4.4565067591275005, 2.727104809200598], [4.544895106775819, 2.815493156848916]]
[[4.544895106775819, 2.815493156848916], [4.592730535821455, 2.930978098412827]]
[[4.592730535821455, 2.930978098412827], [4.640565964867092, 3.0464630399767376]]
[[4.544895106775819, 2.815493156848916], [4.6603800483397295, 2.8633285858945525]]
[[4.368118411479182, 2.6387164615522796], [4.4565067591275005, 2.727104809200598]]
[[4.4565067591275005, 2.727104809200598], [4.544895106775819, 2.815493156848916]]
[[4.544895106775819, 2.815493156848916], [4.592730535821455, 2.930978098412827]]
[[4.592730535821455, 2.930978098412827], [4.640565964867092, 3.0464630399767376]]
[[4.640565964867092, 3.0464630399767376], [4.688401393912728, 3.1619479815406484]]
[[4.688401393912728, 3.1619479815406484], [4.776789741561046, 3.2503363291889666]]
[[4.688401393912728, 3.1619479815406484], [4.7362368229583645, 3.277432923104559]]
[[4.688401393912728, 3.1619479815406484], [4.7362368229583645, 3.277432923104559]]
[[4.7362368229583645, 3.277432923104559], [4.7362368229583645, 3.402432923104559]]
[[4.7362368229583645, 3.402432923104559], [4.7362368229583645, 3.527432923104559]]
[[4.7362368229583645, 3.277432923104559], [4.824625170606683, 3.3658212707528774]]
[[4.544895106775819, 2.815493156848916], [4.6603800483397295, 2.8633285858945525]]
[[4.6603800483397295, 2.8633285858945525], [4.7853800483397295, 2.8633285858945525]]
[[4.6603800483397295, 2.8633285858945525], [4.77586498990364, 2.911164014940189]]
[[4.6603800483397295, 2.8633285858945525], [4.77586498990364, 2.911164014940189]]
[[4.77586498990364, 2.911164014940189], [4.8642533375519585, 2.999552362588507]]
[[4.8642533375519585, 2.999552362588507], [4.952641685200277, 3.0879407102368255]]
[[4.77586498990364, 2.911164014940189], [4.90086498990364, 2.911164014940189]]
[[4.191341716182546, 2.461939766255643], [4.239177145228182, 2.577424707819554]]
[[4.239177145228182, 2.577424707819554], [4.2870125742738185, 2.6929096493834646]]
[[4.2870125742738185, 2.6929096493834646], [4.375400921922137, 2.781297997031783]]
[[4.375400921922137, 2.781297997031783], [4.490885863486048, 2.8291334260774192]]
[[4.375400921922137, 2.781297997031783], [4.463789269570455, 2.869686344680101]]
[[4.375400921922137, 2.781297997031783], [4.463789269570455, 2.869686344680101]]
[[4.463789269570455, 2.869686344680101], [4.5116246986160915, 2.985171286244012]]
[[4.5116246986160915, 2.985171286244012], [4.559460127661728, 3.1006562278079226]]
[[4.463789269570455, 2.869686344680101], [4.579274211134366, 2.9175217737257375]]
[[4.2870125742738185, 2.6929096493834646], [4.334848003319455, 2.8083945909473753]]
[[4.334848003319455, 2.8083945909473753], [4.423236350967773, 2.8967829385956936]]
[[4.334848003319455, 2.8083945909473753], [4.382683432365091, 2.923879532511286]]
[[4.334848003319455, 2.8083945909473753], [4.382683432365091, 2.923879532511286]]
[[4.382683432365091, 2.923879532511286], [4.382683432365091, 3.048879532511286]]
[[4.382683432365091, 3.048879532511286], [4.382683432365091, 3.173879532511286]]
[[4.382683432365091, 2.923879532511286], [4.47107178001341, 3.0122678801596043]]
[[4.2870125742738185, 2.6929096493834646], [4.334848003319455, 2.8083945909473753]]
[[4.334848003319455, 2.8083945909473753], [4.382683432365091, 2.923879532511286]]
[[4.382683432365091, 2.923879532511286], [4.382683432365091, 3.048879532511286]]
[[4.382683432365091, 3.048879532511286], [4.382683432365091, 3.173879532511286]]
[[4.382683432365091, 3.173879532511286], [4.382683432365091, 3.298879532511286]]
[[4.382683432365091, 3.298879532511286], [4.430518861410728, 3.414364474075197]]
[[4.382683432365091, 3.298879532511286], [4.382683432365091, 3.423879532511286]]
[[4.382683432365091, 3.298879532511286], [4.382683432365091, 3.423879532511286]]
[[4.382683432365091, 3.423879532511286], [4.334848003319455, 3.539364474075197]]
[[4.334848003319455, 3.539364474075197], [4.2870125742738185, 3.6548494156391076]]
[[4.382683432365091, 3.423879532511286], [4.430518861410728, 3.539364474075197]]
[[4.382683432365091, 2.923879532511286], [4.47107178001341, 3.0122678801596043]]
[[4.47107178001341, 3.0122678801596043], [4.58655672157732, 3.0601033092052408]]
[[4.47107178001341, 3.0122678801596043], [4.559460127661728, 3.1006562278079226]]
[[4.47107178001341, 3.0122678801596043], [4.559460127661728, 3.1006562278079226]]
[[4.559460127661728, 3.1006562278079226], [4.607295556707364, 3.2161411693718334]]
[[4.607295556707364, 3.2161411693718334], [4.655130985753001, 3.331626110935744]]
[[4.559460127661728, 3.1006562278079226], [4.674945069225639, 3.148491656853559]]
[[4.191341716182546, 2.461939766255643], [4.239177145228182, 2.577424707819554]]
[[4.239177145228182, 2.577424707819554], [4.2870125742738185, 2.6929096493834646]]
[[4.2870125742738185, 2.6929096493834646], [4.334848003319455, 2.8083945909473753]]
[[4.334848003319455, 2.8083945909473753], [4.382683432365091, 2.923879532511286]]
[[4.382683432365091, 2.923879532511286], [4.382683432365091, 3.048879532511286]]
[[4.382683432365091, 3.048879532511286], [4.382683432365091, 3.173879532511286]]
[[4.382683432365091, 3.173879532511286], [4.382683432365091, 3.298879532511286]]
[[4.382683432365091, 3.298879532511286], [4.382683432365091, 3.423879532511286]]
[[4.382683432365091, 3.423879532511286], [4.382683432365091, 3.548879532511286]]
[[4.382683432365091, 3.548879532511286], [4.382683432365091, 3.673879532511286]]
[[4.382683432365091, 3.673879532511286], [4.430518861410728, 3.789364474075197]]
[[4.430518861410728, 3.789364474075197], [4.518907209059046, 3.877752821723515]]
[[4.430518861410728, 3.789364474075197], [4.478354290456364, 3.9048494156391076]]
[[4.430518861410728, 3.789364474075197], [4.478354290456364, 3.9048494156391076]]
[[4.478354290456364, 3.9048494156391076], [4.478354290456364, 4.029849415639108]]
[[4.478354290456364, 4.029849415639108], [4.478354290456364, 4.154849415639108]]
[[4.478354290456364, 3.9048494156391076], [4.5667426381046825, 3.993237763287426]]
[[4.382683432365091, 3.673879532511286], [4.382683432365091, 3.798879532511286]]
[[4.382683432365091, 3.798879532511286], [4.430518861410728, 3.914364474075197]]
[[4.382683432365091, 3.798879532511286], [4.382683432365091, 3.923879532511286]]
[[4.382683432365091, 3.798879532511286], [4.382683432365091, 3.923879532511286]]
[[4.382683432365091, 3.923879532511286], [4.334848003319455, 4.039364474075197]]
[[4.334848003319455, 4.039364474075197], [4.2870125742738185, 4.154849415639108]]
[[4.382683432365091, 3.923879532511286], [4.430518861410728, 4.039364474075197]]
[[4.382683432365091, 3.673879532511286], [4.382683432365091, 3.798879532511286]]
[[4.382683432365091, 3.798879532511286], [4.382683432365091, 3.923879532511286]]
[[4.382683432365091, 3.923879532511286], [4.334848003319455, 4.039364474075197]]
[[4.334848003319455, 4.039364474075197], [4.2870125742738185, 4.154849415639108]]
[[4.2870125742738185, 4.154849415639108], [4.239177145228182, 4.270334357203018]]
[[4.239177145228182, 4.270334357203018], [4.239177145228182, 4.395334357203018]]
[[4.239177145228182, 4.270334357203018], [4.191341716182546, 4.385819298766929]]
[[4.239177145228182, 4.270334357203018], [4.191341716182546, 4.385819298766929]]
[[4.191341716182546, 4.385819298766929], [4.102953368534227, 4.474207646415247]]
[[4.102953368534227, 4.474207646415247], [4.014565020885909, 4.562595994063566]]
[[4.191341716182546, 4.385819298766929], [4.191341716182546, 4.510819298766929]]
[[4.382683432365091, 3.923879532511286], [4.430518861410728, 4.039364474075197]]
[[4.430518861410728, 4.039364474075197], [4.518907209059046, 4.127752821723515]]
[[4.430518861410728, 4.039364474075197], [4.478354290456364, 4.154849415639108]]
[[4.430518861410728, 4.039364474075197], [4.478354290456364, 4.154849415639108]]
[[4.478354290456364, 4.154849415639108], [4.478354290456364, 4.279849415639108]]
[[4.478354290456364, 4.279849415639108], [4.478354290456364, 4.404849415639108]]
[[4.478354290456364, 4.154849415639108], [4.5667426381046825, 4.243237763287426]]
[[4.382683432365091, 2.923879532511286], [4.47107178001341, 3.0122678801596043]]
[[4.47107178001341, 3.0122678801596043], [4.559460127661728, 3.1006562278079226]]
[[4.559460127661728, 3.1006562278079226], [4.674945069225639, 3.148491656853559]]
[[4.674945069225639, 3.148491656853559], [4.799945069225639, 3.148491656853559]]
[[4.674945069225639, 3.148491656853559], [4.790430010789549, 3.1963270858991955]]
[[4.674945069225639, 3.148491656853559], [4.790430010789549, 3.1963270858991955]]
[[4.790430010789549, 3.1963270858991955], [4.878818358437868, 3.2847154335475137]]
[[4.878818358437868, 3.2847154335475137], [4.967206706086186, 3.373103781195832]]
[[4.790430010789549, 3.1963270858991955], [4.915430010789549, 3.1963270858991955]]
[[4.559460127661728, 3.1006562278079226], [4.647848475310046, 3.189044575456241]]
